review_round,sample_id,region,target_min_side_px,labels_in_full_image,human_decision,reviewer_note,candidate_id,source_image_path,record_action,evidence_flag
2,manhole_001,Chaoyang,31,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200311132343730HJ_1296673100_483566500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200311132343730HJ_1296673100_483566500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_002,Dongcheng,28,crack;manhole_cover,approve_manhole,,svrdd::train::01002200001308241543185925D_1296051900_483322700::manhole::002,data/raw/v2/svrdd/extracted/train/images/Dongcheng/01002200001308241543185925D_1296051900_483322700.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_003,Fengtai,39,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121902241149538712Q_1294701100_481557400::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902241149538712Q_1294701100_481557400.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_004,Haidian,29,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200011706140958398182B_1294922000_483582000::manhole::003,data/raw/v2/svrdd/extracted/train/images/Haidian/09002200011706140958398182B_1294922000_483582000.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_005,Xicheng,42,manhole_cover;repaired_road,reject_unclear,I can not see the manhole,svrdd::train::09002200121902051227238932L_1295444300_482172400::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902051227238932L_1295444300_482172400.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_006,Chaoyang,32,crack;manhole_cover,reject_not_manhole,"This is mistake, the box shows nothing related to manhole it is billboard",svrdd::train::09002200121902241001364652G_1297582900_484142700::manhole::000,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241001364652G_1297582900_484142700.jpg,exclude_from_candidate_pool,incorrect_source_annotation
2,manhole_007,Dongcheng,52,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130824135614065J5_1295937800_482619800::manhole::004,data/raw/v2/svrdd/extracted/train/images/Dongcheng/0100220000130824135614065J5_1295937800_482619800.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_008,Fengtai,37,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200122003171154148597C_1295550200_482029800::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200122003171154148597C_1295550200_482029800.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_009,Haidian,28,manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200316141716972HJ_1294209200_482444200::manhole::004,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200316141716972HJ_1294209200_482444200.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_010,Xicheng,29,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902201101107362Q_1295273100_482078100::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902201101107362Q_1295273100_482078100.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_011,Chaoyang,42,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130725110455931J1_1297280000_482551600::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0100220000130725110455931J1_1297280000_482551600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_012,Dongcheng,48,crack;manhole_cover;pothole,approve_manhole,,svrdd::train::01002200001309151029011715D_1296125400_483206000::manhole::002,data/raw/v2/svrdd/extracted/train/images/Dongcheng/01002200001309151029011715D_1296125400_483206000.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_013,Fengtai,44,manhole_cover;pothole,approve_manhole,,svrdd::train::09002200121902211537188567F_1294556800_482185700::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902211537188567F_1294556800_482185700.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_014,Haidian,49,crack;manhole_cover;pothole,approve_manhole,,svrdd::train::0100220000130823105710825J3_1294579100_482912800::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130823105710825J3_1294579100_482912800.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_015,Xicheng,34,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902051632428842L_1295603600_482481500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902051632428842L_1295603600_482481500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_016,Chaoyang,29,manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200313093855094HG_1296729200_482362400::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200313093855094HG_1296729200_482362400.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_017,Dongcheng,39,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707020910582862Q_1296121500_482469300::manhole::000,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707020910582862Q_1296121500_482469300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
