review_id,relative_path,supplied_label,model_prediction,model_confidence,review_decision,reviewer_note,review_source
E2-LQ-001,validation/crack/202dbb767c1e5e536e47ca34.jpg,crack,repaired_road,97.7%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-002,validation/crack/0e097f69201cc20bcaa35251.jpg,crack,repaired_road,94.9%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-003,validation/crack/4a2a204f6fbf91a82c4325ce.jpg,crack,repaired_road,89.3%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-004,validation/crack/d4380c97a83d450e35f8ab68.jpg,crack,repaired_road,89.2%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-005,validation/crack/b1d1db17b70ca477fe4e1630.jpg,crack,repaired_road,88.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-006,validation/crack/a19b48d8e7d2d00b4284ddc2.jpg,crack,repaired_road,86.2%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-007,validation/crack/229dcb184c05cc634c0dfbe3.jpg,crack,repaired_road,83.7%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-008,validation/crack/c5e366256681def9f8185d33.jpg,crack,pothole,81.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-009,validation/crack/0d1dbd758122b630e686d1f8.jpg,crack,repaired_road,79.4%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-010,validation/crack/268f4f831139d255e7f682cb.jpg,crack,repaired_road,77.9%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-011,validation/crack/acdb0a58d509c498311bf46e.jpg,crack,pothole,77.4%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-012,validation/crack/b9b0ea8f110dbdd674a3aa41.jpg,crack,pothole,77.4%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-013,validation/crack/658f0a6a3d2381a041196615.jpg,crack,repaired_road,76.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-014,validation/crack/dbab7c0fd831039ae68a3f9b.jpg,crack,unpaved_road,76.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-015,validation/crack/e440e090e20ac61806541065.jpg,crack,repaired_road,75.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-016,validation/crack/b12dad9353b271e37a7d1e98.jpg,crack,repaired_road,74.0%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-017,validation/crack/cb57350adf8aded4395a5c57.jpg,crack,repaired_road,71.8%,visible_and_supported,I see both repaired road and crack,user review captured in completed_label_review.pdf
E2-LQ-018,validation/crack/742608d98a1b3016b0a481b3.jpg,crack,repaired_road,71.7%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-019,validation/crack/81f02ea358571e030ed5137b.jpg,crack,pothole,70.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-020,validation/crack/408b4088966ee48ff0d74341.jpg,crack,repaired_road,70.5%,visible_and_supported,I see some cracks and the shadows coming from trees,user review captured in completed_label_review.pdf
E2-LQ-021,validation/crack/8dd9188d3aa0c9f2f57a9a35.jpg,crack,repaired_road,70.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-022,validation/crack/c3ef61e3f4ead66cb83b94a8.jpg,crack,pothole,68.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-023,validation/crack/ac978bc7340f1fe7fe40e4c1.jpg,crack,repaired_road,67.4%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-024,validation/crack/ed14b491a9efa14b9225c738.jpg,crack,repaired_road,66.4%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-025,validation/crack/8a24a824483073b47d53b385.jpg,crack,repaired_road,65.4%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-026,validation/crack/7b6f68db8f3fb7f85ccd1ba2.jpg,crack,pothole,64.7%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-027,validation/crack/8d13306ddc088a5f0617d267.jpg,crack,repaired_road,64.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-028,validation/crack/190ed3a96b52361c7e555a19.jpg,crack,repaired_road,63.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-029,validation/crack/6f245efe06c886897ba37535.jpg,crack,repaired_road,63.1%,visible_but_competing_condition,The repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-030,validation/crack/2148f5f79ed002e4bd9e97a2.jpg,crack,repaired_road,61.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-031,validation/crack/f5aa4698f13c4cfd8a66b7cf.jpg,crack,repaired_road,61.7%,visible_but_competing_condition,Repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-032,validation/crack/17ea015ad9a7b04b1b7e84ee.jpg,crack,pothole,61.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-033,validation/crack/976675ccf3be536904769c62.jpg,crack,repaired_road,61.1%,visible_but_competing_condition,Repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-034,validation/crack/82298c727793a3888cbabfcf.jpg,crack,repaired_road,60.8%,visible_but_competing_condition,Repaired road is there,user review captured in completed_label_review.pdf
E2-LQ-035,validation/crack/67427fe0bd3577b8d8e6384a.jpg,crack,repaired_road,60.7%,visible_but_competing_condition,Repaired road is true,user review captured in completed_label_review.pdf
E2-LQ-036,validation/crack/b6f87fb5d75bf9786fb3d445.jpg,crack,repaired_road,60.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-037,validation/crack/8002f4df170449754e59f3d3.jpg,crack,pothole,59.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-038,validation/crack/7dcf0f90473b47f2db7af928.jpg,crack,repaired_road,58.8%,visible_but_competing_condition,I see repaired road,user review captured in completed_label_review.pdf
E2-LQ-039,validation/crack/f3b0e22a7dd2a50e5204e3de.jpg,crack,pothole,58.1%,visible_and_supported,There is manhole cover,user review captured in completed_label_review.pdf
